"","text","emotion","polarity.POS","polarity.NEG","polarity.POS.NEG","polarity.BEST_FIT"
"1",NA,"unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"2","mp albums
new releases in pop
 sleep better
tom middleton","unknown","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"3","mariah thought she suffered from a severe sleep disorder she would overwork herself out of fear of letting people down and gu","fear","1.03127774142571","35.1792261323723","0.0293149638239686","negative"
"4","put your thoughts to sleep 
do not let them cast a shadow over the moon of your heart 
let go of thinking 

r","fear","8.78232285939751","26.8423564950873","0.327181514819865","negative"
"5","april 
 nji woke up 
time sleep duration h m s","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"6","april 
ooxoo woke up 
time sleep duration h m s","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"7","good night if you want to sleep have a nice dream","joy","33.4217525744328","0.445453222112551","75.0286470393703","positive"
"8","april 
ooxoo nocturnal awoke 
time awake duration min","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"9","best sellers in doom metal
 holy mountain sleep","unknown","17.2265151579293","9.47547003995745","1.81801167491282","neutral"
"10","my sleep analysis from to 
via","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"11","takamaki san isn t it a little too late to still be in your sleep attire","unknown","1.03127774142571","9.47547003995745","0.108836578774127","negative"
"12","sleep early tonight","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"13","april 
ooxoo fell asleep 
time sleep onset latency m s","unknown","1.03127774142571","9.47547003995745","0.108836578774127","negative"
"14","i forreal have laid in bed for hours trying to sleep but my brain wouldn t let me until i ve decided on what to e","anger","1.03127774142571","8.78232285939751","0.117426534862834","negative"
"15","legend says when you can t sleep at night it s because you re awake in someone else s","unknown","8.78232285939751","0.445453222112551","19.7154772340574","positive"
"16","i said im going to finish this shit tonight but i keep changing the concept ughhhhhh will sleep nytz","unknown","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"17","april 
ooxoo got into bed 
time alarm set","anger","1.03127774142571","8.78232285939751","0.117426534862834","negative"
"18","he also said i couldn t sleep it was so hard for me it s sugizo s fault we shoud use tag のせい lol you","unknown","1.03127774142571","17.8123396772424","0.0578968153601572","negative"
"19","mariah thought she suffered from a severe sleep disorder she would overwork herself out of fear of letting people","fear","1.03127774142571","35.1792261323723","0.0293149638239686","negative"
"20","trans s cawaii may edition about suga and his love for sleep","joy","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"21","trans 
q what fashion items do you own the most 
jm blue denim jackets hoodies and hooded clothes and long t shirts","sadness","1.03127774142571","9.47547003995745","0.108836578774127","negative"
"22","is there some kinda secret on how to survive on hours of sleep every night","unknown","8.78232285939751","8.78232285939751","1","neutral"
"23","i ve seen him sleep on an airplane and i can tell you that he ll be in a wheelchair in a few","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"24","bumping up the a few hours earlier tomorrow filming with the later in the day","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
